Date,MMM,ABT,ABBV,ABMD,ACN,ATVI,ADBE,AMD,AAP,AES
2019-06-07,156.51644897460938,78.27021026611328,69.5586166381836,267.8699951171875,178.09808349609375,44.86626052856445,278.1600036621094,32.40999984741211,153.77215576171875,15.784395217895508
2019-06-10,158.0946807861328,78.78399658203125,69.12740325927734,272.42999267578125,179.57801818847656,45.48912048339844,280.3399963378906,33.22999954223633,151.9607391357422,15.529197692871094
2019-06-11,158.67710876464844,78.63858795166016,70.223388671875,262.0299987792969,178.5362091064453,46.17131423950195,275.989990234375,32.40999984741211,150.62445068359375,15.48193645477295
2019-06-12,158.77105712890625,79.44319915771484,70.58272552490234,254.5399932861328,179.72406005859375,44.57953643798828,276.8399963378906,32.18000030517578,149.01100158691406,15.841104507446287
2019-06-13,158.62075805664062,79.77281188964844,70.92408752441406,255.52999877929688,180.07456970214844,45.52867126464844,276.29998779296875,31.38999938964844,149.08030700683594,15.935623168945312
2019-06-14,156.5915985107422,79.70494842529297,70.69053649902344,250.9600067138672,180.09405517578125,45.10353469848633,274.2799987792969,30.36000061035156,150.2582244873047,16.153013229370117
2019-06-17,156.6761474609375,79.54014587402344,70.65457916259766,256.1499938964844,179.05224609375,44.55976867675781,275.6000061035156,29.200000762939453,150.19883728027344,15.907266616821287
2019-06-18,161.4484100341797,80.86823272705078,70.29525756835938,256.4700012207031,179.6364288330078,45.2518424987793,276.7799987792969,30.450000762939453,153.25746154785156,15.916717529296877
2019-06-19,160.40565490722656,81.75039672851562,69.72029876708984,256.29998779296875,179.10092163085938,44.81682205200195,291.2099914550781,30.5,152.2082061767578,15.661521911621094
2019-06-20,163.40237426757812,82.34174346923828,70.37609100341797,260.3299865722656,181.6031951904297,45.15297317504883,302.1099853515625,30.01000022888184,151.77252197265625,16.001785278320312
2019-06-21,162.84812927246094,82.39990997314453,70.77136993408203,256.0400085449219,180.66848754882807,45.390254974365234,299.3299865722656,29.100000381469727,151.74281311035156,15.841104507446287
2019-06-24,162.87632751464844,82.1187744140625,70.47492980957031,253.1699981689453,181.20399475097656,46.61621856689453,299.8699951171875,29.26000022888184,150.84170532226562,15.718231201171877
2019-06-25,161.60809326171875,81.66313934326172,59.02106094360352,257.0599975585937,180.02589416503906,45.67697143554688,287.9700012207031,28.86000061035156,152.99050903320312,15.737133979797363
2019-06-26,161.46719360351562,80.42230224609375,61.08724212646485,251.6199951171875,178.47779846191406,46.20096969604492,288.7200012207031,29.920000076293945,148.4651336669922,15.425228118896484
2019-06-27,161.1102294921875,81.12997436523438,62.88393020629883,254.92999267578125,178.1759796142578,46.74474334716797,293.2300109863281,30.739999771118164,150.22775268554688,15.633167266845703
2019-06-28,162.83872985839844,81.52742767333984,65.32742309570312,260.489990234375,179.8993377685547,46.665653228759766,294.6499938964844,30.3700008392334,152.63401794433594,15.841104507446287
2019-07-01,163.93785095214844,81.90550231933594,65.93829345703125,265.0199890136719,181.94395446777344,46.96225357055664,300.9700012207031,31.200000762939453,155.06008911132812,15.85055923461914
2019-07-02,163.47755432128906,82.35142517089844,66.68391418457031,261.489990234375,183.6283721923828,47.43682098388672,301.3900146484375,31.239999771118164,158.22879028320312,16.020689010620117
2019-07-03,164.37936401367188,83.02031707763672,67.3396987915039,261.3299865722656,185.93589782714844,48.10912322998047,305.70001220703125,31.190000534057617,159.06060791015625,16.332595825195312
2019-07-05,161.57992553710938,82.80705261230469,65.5699691772461,261.4700012207031,186.3448028564453,47.60489654541016,303.9800109863281,31.5,159.05068969726562,16.181367874145508
2019-07-08,158.94015502929688,82.48713684082031,63.97991561889648,257.7799987792969,185.2932891845703,45.94392013549805,302.9200134277344,32.040000915527344,156.6444549560547,16.2097225189209
2019-07-09,155.66159057617188,82.6616439819336,63.99787521362305,257.29998779296875,186.05270385742188,45.84504699707031,304.20001220703125,33.150001525878906,153.98074340820312,16.124652862548828
2019-07-10,155.66159057617188,82.7682876586914,64.36620330810547,255.80999755859372,186.6563873291016,46.30972671508789,306.9800109863281,33.790000915527344,154.90164184570312,16.058494567871094
2019-07-11,158.7992401123047,83.14634704589844,63.99787521362305,266.0899963378906,189.53836059570312,46.8040657043457,307.6000061035156,33.060001373291016,154.76300048828125,16.030139923095703
2019-07-12,162.83872985839844,81.6575927734375,64.09820556640625,262.69000244140625,191.0377655029297,46.665653228759766,309.4200134277344,33.209999084472656,157.03062438964844,16.1435604095459
2019-07-15,162.36900329589844,81.55055236816406,64.08906555175781,260.5799865722656,190.17120361328125,47.12044143676758,308.760009765625,34.38999938964844,157.3673095703125,16.2097225189209
2019-07-16,165.79791259765625,80.91808319091797,63.07672119140625,253.75,189.12940979003903,46.4580307006836,305.70001220703125,33.849998474121094,160.1795654296875,16.3420467376709
2019-07-17,164.08816528320312,83.44799041748047,62.31060409545898,260.0599975585937,188.7010040283203,46.15153884887695,309.3900146484375,33.599998474121094,156.12953186035156,16.682310104370117
2019-07-18,162.57571411132812,85.39407348632812,62.24675369262695,262.7699890136719,189.68441772460935,45.20240783691406,310.0799865722656,33.0,156.35726928710938,16.568889617919922
2019-07-19,162.15296936035156,85.13134002685547,62.5112533569336,260.4700012207031,188.81784057617188,44.62897491455078,306.8699951171875,32.5099983215332,155.39674377441406,16.275882720947266
2019-07-22,164.0599822998047,85.69571685791016,62.018741607666016,263.9700012207031,189.31442260742188,45.05410385131836,308.54998779296875,32.849998474121094,157.34750366210938,16.124652862548828
